date,month,week,platform,campaign,posts,impressions,likes,comments,shares,sentiment,hashtags,text
2024-06-09,2024-06,2024-06-03/2024-06-09,Youtube,HolidayPush,1,12520,849,46,36,0.718,#launch,Behind the scenes from our team meeting.
2025-04-04,2025-04,2025-03-31/2025-04-06,Twitter,Community,2,7972,670,35,18,-0.303,#brand,Top 5 tips to boost engagement.
2024-11-09,2024-11,2024-11-04/2024-11-10,Twitter,,1,4951,388,36,10,0.473,#news,Behind the scenes from our team meeting.
2024-01-22,2024-01,2024-01-22/2024-01-28,Facebook,ProductLaunch,1,5208,254,9,11,-0.067,,Join our giveaway — win prizes!
2024-09-09,2024-09,2024-09-09/2024-09-15,Facebook,Community,1,11317,629,41,27,0.577,#marketing #sale #news,Collab announcement — exciting news.
2025-07-14,2025-07,2025-07-14/2025-07-20,Twitter,,1,6003,364,38,23,-0.428,#news #tips,Holiday sale starts now — big discounts!
2025-04-19,2025-04,2025-04-14/2025-04-20,Twitter,,1,4109,264,13,11,0.053,,We hit a milestone — thank you!
2024-02-28,2024-02,2024-02-26/2024-03-03,Linkedin,,1,1128,101,2,4,-0.645,#sale #launch,Launching our new product today! Check it out.
2025-05-25,2025-05,2025-05-19/2025-05-25,Instagram,BrandAwareness,4,31816,1866,137,192,-0.151,,Top 5 tips to boost engagement.
2025-11-12,2025-11,2025-11-10/2025-11-16,Instagram,Community,3,25464,1262,11,118,-0.087,#viral,New blog post: marketing strategies for 2025.
2025-04-20,2025-04,2025-04-14/2025-04-20,Twitter,,1,4134,350,19,12,0.232,#giveaway,Top 5 tips to boost engagement.
2025-11-30,2025-11,2025-11-24/2025-11-30,Linkedin,,2,5551,468,19,13,-0.469,#howto,Holiday sale starts now — big discounts!
2024-07-08,2024-07,2024-07-08/2024-07-14,Instagram,EngagementBoost,1,8942,697,47,34,0.66,,Launching our new product today! Check it out.
2025-11-17,2025-11,2025-11-17/2025-11-23,Pinterest,,1,1440,40,3,5,0.721,,Collab announcement — exciting news.
2025-07-16,2025-07,2025-07-14/2025-07-20,Facebook,BrandAwareness,1,7578,466,37,26,0.134,,Top 5 tips to boost engagement.
2025-07-20,2025-07,2025-07-14/2025-07-20,Pinterest,HolidayPush,1,1778,98,7,7,-0.382,,Live Q&A tomorrow — set a reminder.
2024-08-31,2024-08,2024-08-26/2024-09-01,Youtube,ProductLaunch,1,14904,1024,24,30,-0.417,#event,Holiday sale starts now — big discounts!
2025-05-19,2025-05,2025-05-19/2025-05-25,Twitter,,2,6573,279,13,21,0.114,#event,We hit a milestone — thank you!
2024-05-10,2024-05,2024-05-06/2024-05-12,Instagram,,2,20935,1599,135,62,-0.197,,Join our giveaway — win prizes!
2025-04-29,2025-04,2025-04-28/2025-05-04,Instagram,Community,1,2183,146,12,8,0.527,#sale #howto,Customer testimonial — we love feedback.
2025-10-08,2025-10,2025-10-06/2025-10-12,Instagram,,2,11903,922,6,30,-0.039,#giveaway #viral,Live Q&A tomorrow — set a reminder.
2024-01-21,2024-01,2024-01-15/2024-01-21,Facebook,EngagementBoost,2,21661,975,67,72,0.238,#brand,Launching our new product today! Check it out.
2024-06-15,2024-06,2024-06-10/2024-06-16,Instagram,,2,17122,1118,79,20,0.06,#viral,We hit a milestone — thank you!
2024-09-30,2024-09,2024-09-30/2024-10-06,Twitter,,1,3913,296,19,11,-0.109,#brand,We hit a milestone — thank you!
2025-01-22,2025-01,2025-01-20/2025-01-26,Twitter,,1,4811,43,21,22,-0.186,#giveaway #news,Join our giveaway — win prizes!
2025-08-23,2025-08,2025-08-18/2025-08-24,Youtube,HolidayPush,2,28937,2122,137,71,-0.322,,New blog post: marketing strategies for 2025.
2024-11-11,2024-11,2024-11-11/2024-11-17,Instagram,ProductLaunch,1,8000,422,26,23,-0.052,#sale,Behind the scenes from our team meeting.
2024-01-14,2024-01,2024-01-08/2024-01-14,Instagram,Community,2,16643,990,72,67,0.104,#tips,Top 5 tips to boost engagement.
2024-08-29,2024-08,2024-08-26/2024-09-01,Instagram,BrandAwareness,3,16462,1400,33,57,0.16,#news,Live Q&A tomorrow — set a reminder.
2024-12-11,2024-12,2024-12-09/2024-12-15,Youtube,HolidayPush,1,12800,1047,41,16,0.091,,We hit a milestone — thank you!
2025-07-18,2025-07,2025-07-14/2025-07-20,Facebook,,2,19856,961,0,56,0.011,#brand #marketing,Top 5 tips to boost engagement.
2024-12-05,2024-12,2024-12-02/2024-12-08,Instagram,EngagementBoost,3,28590,750,53,96,-0.577,#viral,Launching our new product today! Check it out.
2024-04-01,2024-04,2024-04-01/2024-04-07,Instagram,,1,6018,351,13,26,0.487,#viral,Live Q&A tomorrow — set a reminder.
2025-01-01,2025-01,2024-12-30/2025-01-05,Twitter,BrandAwareness,1,3956,321,9,16,-0.457,#news,Join our giveaway — win prizes!
2025-03-30,2025-03,2025-03-24/2025-03-30,Instagram,ProductLaunch,3,27416,2365,149,80,0.257,#brand #tips,Collab announcement — exciting news.
2025-03-03,2025-03,2025-03-03/2025-03-09,Youtube,,2,28907,524,24,105,0.512,#launch #giveaway #event,We hit a milestone — thank you!
2025-05-23,2025-05,2025-05-19/2025-05-25,Linkedin,BrandAwareness,1,2686,193,7,7,0.499,#giveaway,Collab announcement — exciting news.
2024-02-04,2024-02,2024-01-29/2024-02-04,Twitter,Community,1,5154,356,27,12,0.36,,We hit a milestone — thank you!
2024-07-24,2024-07,2024-07-22/2024-07-28,Youtube,BrandAwareness,1,10162,766,13,41,0.106,#howto #launch,Behind the scenes from our team meeting.
2024-03-21,2024-03,2024-03-18/2024-03-24,Instagram,HolidayPush,1,12140,731,79,48,-0.236,#tips,Live Q&A tomorrow — set a reminder.
2025-07-15,2025-07,2025-07-14/2025-07-20,Facebook,,3,31927,785,139,104,-0.409,#howto,New blog post: marketing strategies for 2025.
2025-01-22,2025-01,2025-01-20/2025-01-26,Youtube,EngagementBoost,1,6829,347,36,16,0.093,#howto,Launching our new product today! Check it out.
2024-01-02,2024-01,2024-01-01/2024-01-07,Twitter,,1,3273,136,6,9,-0.158,#tips #howto,Customer testimonial — we love feedback.
2025-01-24,2025-01,2025-01-20/2025-01-26,Linkedin,BrandAwareness,3,6273,246,15,19,-0.099,#sale #viral,New blog post: marketing strategies for 2025.
2025-07-19,2025-07,2025-07-14/2025-07-20,Twitter,HolidayPush,1,4954,374,18,19,0.322,#event #launch,Collab announcement — exciting news.
2024-04-15,2024-04,2024-04-15/2024-04-21,Twitter,HolidayPush,1,4676,264,26,12,0.017,#tips #launch,Behind the scenes from our team meeting.
2025-04-21,2025-04,2025-04-21/2025-04-27,Instagram,HolidayPush,5,38895,2639,216,117,-0.183,#viral #tips,Launching our new product today! Check it out.
2025-02-05,2025-02,2025-02-03/2025-02-09,Twitter,HolidayPush,2,9440,765,45,30,1.0,#marketing #howto #news,Collab announcement — exciting news.
2025-07-09,2025-07,2025-07-07/2025-07-13,Facebook,EngagementBoost,1,9749,248,34,26,-0.038,#howto,Top 5 tips to boost engagement.
2024-06-10,2024-06,2024-06-10/2024-06-16,Youtube,,1,23826,2193,58,77,0.353,#howto #giveaway,Launching our new product today! Check it out.
2024-07-20,2024-07,2024-07-15/2024-07-21,Facebook,EngagementBoost,2,16401,1570,100,51,0.323,#news,Customer testimonial — we love feedback.
2024-09-26,2024-09,2024-09-23/2024-09-29,Youtube,HolidayPush,2,29233,715,96,63,-0.066,#viral,New blog post: marketing strategies for 2025.
2024-09-27,2024-09,2024-09-23/2024-09-29,Linkedin,,5,13015,961,11,31,-0.162,#launch,New blog post: marketing strategies for 2025.
2025-03-31,2025-03,2025-03-31/2025-04-06,Instagram,EngagementBoost,1,6375,636,13,10,-0.491,,We hit a milestone — thank you!
2025-04-06,2025-04,2025-03-31/2025-04-06,Twitter,,1,3792,121,9,8,0.166,#event,Customer testimonial — we love feedback.
2024-09-08,2024-09,2024-09-02/2024-09-08,Instagram,HolidayPush,2,16880,616,55,74,0.092,#news,New blog post: marketing strategies for 2025.
2024-10-22,2024-10,2024-10-21/2024-10-27,Facebook,,1,10174,775,39,37,-0.344,#viral,Collab announcement — exciting news.
2024-12-03,2024-12,2024-12-02/2024-12-08,Youtube,ProductLaunch,1,16044,1109,20,35,0.524,,Customer testimonial — we love feedback.
2024-02-22,2024-02,2024-02-19/2024-02-25,Instagram,ProductLaunch,2,17456,1123,52,49,0.299,#howto,Live Q&A tomorrow — set a reminder.
2024-08-04,2024-08,2024-07-29/2024-08-04,Linkedin,EngagementBoost,2,6494,357,21,13,0.087,#launch #event #tips,New blog post: marketing strategies for 2025.
2024-07-06,2024-07,2024-07-01/2024-07-07,Facebook,BrandAwareness,1,6396,403,23,23,-0.049,,New blog post: marketing strategies for 2025.
2025-01-14,2025-01,2025-01-13/2025-01-19,Facebook,HolidayPush,1,5328,51,13,17,0.005,#tips #event,Behind the scenes from our team meeting.
2025-05-07,2025-05,2025-05-05/2025-05-11,Twitter,,1,3918,141,35,14,-0.334,#tips #giveaway #launch,Launching our new product today! Check it out.
2024-02-10,2024-02,2024-02-05/2024-02-11,Twitter,,2,7047,407,23,18,-0.132,#event,New blog post: marketing strategies for 2025.
2024-06-05,2024-06,2024-06-03/2024-06-09,Instagram,BrandAwareness,1,10097,179,28,40,0.333,#viral,We hit a milestone — thank you!
2024-01-15,2024-01,2024-01-15/2024-01-21,Instagram,EngagementBoost,1,5437,310,9,9,0.023,#tips,Live Q&A tomorrow — set a reminder.
2024-03-05,2024-03,2024-03-04/2024-03-10,Instagram,BrandAwareness,1,6680,398,36,16,0.83,#launch,New blog post: marketing strategies for 2025.
2025-06-04,2025-06,2025-06-02/2025-06-08,Facebook,BrandAwareness,1,9002,407,2,23,-0.13,#news #launch,We hit a milestone — thank you!
2024-12-09,2024-12,2024-12-09/2024-12-15,Instagram,,3,28237,1310,12,107,0.05,#viral,Collab announcement — exciting news.
2024-05-08,2024-05,2024-05-06/2024-05-12,Youtube,Community,3,48430,1892,190,118,0.248,#howto,Collab announcement — exciting news.
2025-10-09,2025-10,2025-10-06/2025-10-12,Twitter,,1,2630,132,12,5,0.298,#viral #news,Collab announcement — exciting news.
2025-04-16,2025-04,2025-04-14/2025-04-20,Facebook,Community,2,13412,901,51,40,-0.008,,Top 5 tips to boost engagement.
2024-03-03,2024-03,2024-02-26/2024-03-03,Twitter,,1,3311,227,26,18,-0.166,#viral,Join our giveaway — win prizes!
2024-05-18,2024-05,2024-05-13/2024-05-19,Facebook,,2,19889,1600,58,40,-0.023,#viral #tips,Top 5 tips to boost engagement.
2025-05-13,2025-05,2025-05-12/2025-05-18,Youtube,Community,1,13167,748,44,55,0.231,#giveaway #viral #launch,Collab announcement — exciting news.
2025-08-15,2025-08,2025-08-11/2025-08-17,Instagram,EngagementBoost,2,15797,1092,61,47,-0.012,#news #brand,Join our giveaway — win prizes!
2025-01-26,2025-01,2025-01-20/2025-01-26,Instagram,,4,33958,1051,138,102,0.932,,Behind the scenes from our team meeting.
2025-11-05,2025-11,2025-11-03/2025-11-09,Linkedin,BrandAwareness,1,2344,150,8,5,-0.02,#giveaway #launch #brand,Launching our new product today! Check it out.
2025-02-22,2025-02,2025-02-17/2025-02-23,Instagram,Community,1,8512,472,31,30,0.167,#brand,Top 5 tips to boost engagement.
2024-10-15,2024-10,2024-10-14/2024-10-20,Instagram,BrandAwareness,4,33547,2347,46,135,0.095,#launch #brand,Customer testimonial — we love feedback.
2025-01-13,2025-01,2025-01-13/2025-01-19,Twitter,EngagementBoost,1,4263,231,22,19,0.006,#viral,New blog post: marketing strategies for 2025.
2025-05-04,2025-05,2025-04-28/2025-05-04,Instagram,,3,25621,1344,152,84,0.387,,Live Q&A tomorrow — set a reminder.
2024-08-18,2024-08,2024-08-12/2024-08-18,Facebook,,1,4876,212,14,11,-0.274,#event #giveaway,Holiday sale starts now — big discounts!
2024-02-10,2024-02,2024-02-05/2024-02-11,Instagram,,2,16274,1304,63,77,0.909,,Holiday sale starts now — big discounts!
2024-01-28,2024-01,2024-01-22/2024-01-28,Youtube,BrandAwareness,4,54252,2589,385,138,-0.157,,Customer testimonial — we love feedback.
2024-05-14,2024-05,2024-05-13/2024-05-19,Linkedin,BrandAwareness,1,2534,246,6,5,0.247,#marketing,Top 5 tips to boost engagement.
2024-07-19,2024-07,2024-07-15/2024-07-21,Facebook,,1,8207,277,36,26,0.154,#howto #news,New blog post: marketing strategies for 2025.
2024-02-02,2024-02,2024-01-29/2024-02-04,Facebook,HolidayPush,2,21383,1783,89,43,0.073,,New blog post: marketing strategies for 2025.
2024-02-17,2024-02,2024-02-12/2024-02-18,Youtube,Community,1,13825,227,99,34,0.542,#giveaway,Collab announcement — exciting news.
2025-05-17,2025-05,2025-05-12/2025-05-18,Instagram,HolidayPush,3,23873,1351,184,86,0.761,#marketing #brand,Join our giveaway — win prizes!
2025-02-10,2025-02,2025-02-10/2025-02-16,Youtube,,1,12019,579,67,70,-0.193,#marketing,New blog post: marketing strategies for 2025.
2025-07-27,2025-07,2025-07-21/2025-07-27,Linkedin,,2,5101,350,56,18,-0.186,#howto #news #event,Customer testimonial — we love feedback.
2024-04-08,2024-04,2024-04-08/2024-04-14,Linkedin,Community,1,2054,156,8,8,0.27,#giveaway #sale,Launching our new product today! Check it out.
2025-11-14,2025-11,2025-11-10/2025-11-16,Facebook,HolidayPush,3,28573,2819,0,71,0.063,#news,New blog post: marketing strategies for 2025.
2025-06-30,2025-06,2025-06-30/2025-07-06,Instagram,,4,29745,1468,88,97,-0.094,#news,Live Q&A tomorrow — set a reminder.
2025-09-04,2025-09,2025-09-01/2025-09-07,Twitter,ProductLaunch,1,3535,160,10,3,-0.019,#marketing,Live Q&A tomorrow — set a reminder.
2025-04-06,2025-04,2025-03-31/2025-04-06,Linkedin,EngagementBoost,3,8291,643,58,13,-0.095,,Customer testimonial — we love feedback.
2025-10-04,2025-10,2025-09-29/2025-10-05,Instagram,,1,9967,570,36,31,-0.312,#howto,Customer testimonial — we love feedback.
2024-01-05,2024-01,2024-01-01/2024-01-07,Linkedin,BrandAwareness,1,2625,124,17,8,0.175,,Live Q&A tomorrow — set a reminder.
2024-08-05,2024-08,2024-08-05/2024-08-11,Instagram,BrandAwareness,4,31810,1625,178,122,0.098,#viral #howto,We hit a milestone — thank you!
2025-05-17,2025-05,2025-05-12/2025-05-18,Instagram,Community,1,8345,382,38,23,-0.079,#event,Collab announcement — exciting news.
2025-02-01,2025-02,2025-01-27/2025-02-02,Instagram,BrandAwareness,3,26360,701,126,118,-0.586,#marketing,Launching our new product today! Check it out.
2025-01-27,2025-01,2025-01-27/2025-02-02,Instagram,BrandAwareness,2,15460,1410,70,54,-0.036,#news,New blog post: marketing strategies for 2025.
2024-07-25,2024-07,2024-07-22/2024-07-28,Twitter,BrandAwareness,3,12555,875,78,14,0.766,#news,Collab announcement — exciting news.
2024-01-15,2024-01,2024-01-15/2024-01-21,Instagram,,2,16889,469,59,20,-0.037,#sale,We hit a milestone — thank you!
2025-07-07,2025-07,2025-07-07/2025-07-13,Pinterest,,1,1625,146,5,5,-0.026,#news,Live Q&A tomorrow — set a reminder.
2025-04-05,2025-04,2025-03-31/2025-04-06,Facebook,,3,32120,2040,154,88,-0.089,#howto,Behind the scenes from our team meeting.
2025-11-21,2025-11,2025-11-17/2025-11-23,Instagram,,1,3026,168,13,9,0.297,#marketing,Customer testimonial — we love feedback.
2025-07-28,2025-07,2025-07-28/2025-08-03,Facebook,,1,13185,930,47,35,0.456,#brand,Top 5 tips to boost engagement.
2024-08-28,2024-08,2024-08-26/2024-09-01,Youtube,,1,8556,438,71,20,-0.149,#launch #viral,Live Q&A tomorrow — set a reminder.
2025-07-17,2025-07,2025-07-14/2025-07-20,Linkedin,BrandAwareness,1,2555,86,13,5,-0.447,#news,Join our giveaway — win prizes!
2024-04-05,2024-04,2024-04-01/2024-04-07,Instagram,,4,33989,1672,97,100,-0.039,,New blog post: marketing strategies for 2025.
2025-04-29,2025-04,2025-04-28/2025-05-04,Youtube,,1,11625,680,60,44,-0.104,,Customer testimonial — we love feedback.
2025-02-10,2025-02,2025-02-10/2025-02-16,Linkedin,,2,5520,231,11,10,0.007,#sale,Holiday sale starts now — big discounts!
2024-08-18,2024-08,2024-08-12/2024-08-18,Instagram,ProductLaunch,4,34028,2387,58,97,0.498,#sale #marketing,Top 5 tips to boost engagement.
2025-10-16,2025-10,2025-10-13/2025-10-19,Instagram,EngagementBoost,3,28435,2433,159,125,-0.278,#launch #event #howto,Live Q&A tomorrow — set a reminder.
2024-06-19,2024-06,2024-06-17/2024-06-23,Facebook,Community,2,19954,1051,45,25,0.228,#news #marketing,We hit a milestone — thank you!
2025-06-24,2025-06,2025-06-23/2025-06-29,Instagram,EngagementBoost,5,40431,575,165,147,0.23,#sale,Top 5 tips to boost engagement.
2024-02-05,2024-02,2024-02-05/2024-02-11,Linkedin,Community,1,2699,152,5,7,0.256,#viral,Holiday sale starts now — big discounts!
2025-06-08,2025-06,2025-06-02/2025-06-08,Twitter,,1,3734,160,12,8,0.323,#howto #event,Holiday sale starts now — big discounts!
2024-06-08,2024-06,2024-06-03/2024-06-09,Youtube,,3,34617,1928,108,84,-0.581,,Launching our new product today! Check it out.
2025-11-29,2025-11,2025-11-24/2025-11-30,Facebook,Community,1,6637,368,25,26,0.292,#news,We hit a milestone — thank you!
2024-08-30,2024-08,2024-08-26/2024-09-01,Instagram,HolidayPush,4,31965,1367,275,91,0.076,#howto,Behind the scenes from our team meeting.
2024-03-26,2024-03,2024-03-25/2024-03-31,Instagram,,7,56818,1855,372,109,-0.161,,Collab announcement — exciting news.
2025-07-31,2025-07,2025-07-28/2025-08-03,Facebook,,2,23784,1432,89,50,0.659,#marketing,Launching our new product today! Check it out.
2025-11-12,2025-11,2025-11-10/2025-11-16,Linkedin,BrandAwareness,1,2498,111,8,6,0.393,#marketing,Customer testimonial — we love feedback.
2025-07-10,2025-07,2025-07-07/2025-07-13,Linkedin,Community,1,3889,368,10,15,-0.204,#marketing #giveaway,Behind the scenes from our team meeting.
2025-07-27,2025-07,2025-07-21/2025-07-27,Instagram,,2,13109,851,25,32,-0.087,#event,Collab announcement — exciting news.
2025-10-07,2025-10,2025-10-06/2025-10-12,Instagram,,5,40504,1835,149,120,0.458,#tips #news,Customer testimonial — we love feedback.
2024-01-28,2024-01,2024-01-22/2024-01-28,Instagram,EngagementBoost,1,7358,371,49,16,0.069,#event #sale #brand,Launching our new product today! Check it out.
2025-09-11,2025-09,2025-09-08/2025-09-14,Facebook,,1,6062,345,0,15,-0.374,#giveaway,Live Q&A tomorrow — set a reminder.
2025-07-09,2025-07,2025-07-07/2025-07-13,Instagram,,4,27936,1730,168,79,0.695,#news,Top 5 tips to boost engagement.
2024-12-05,2024-12,2024-12-02/2024-12-08,Twitter,ProductLaunch,1,3478,251,21,7,-0.006,#brand,New blog post: marketing strategies for 2025.
2024-11-26,2024-11,2024-11-25/2024-12-01,Facebook,,2,18920,1568,0,41,0.091,#news,New blog post: marketing strategies for 2025.
2025-10-01,2025-10,2025-09-29/2025-10-05,Youtube,HolidayPush,1,9780,572,39,24,0.241,#sale,Live Q&A tomorrow — set a reminder.
2025-05-20,2025-05,2025-05-19/2025-05-25,Twitter,,2,8913,615,27,40,-0.213,#news,Launching our new product today! Check it out.
2024-12-13,2024-12,2024-12-09/2024-12-15,Instagram,,3,23026,1577,84,70,0.534,#brand,Join our giveaway — win prizes!
2025-04-17,2025-04,2025-04-14/2025-04-20,Facebook,,4,37039,2295,164,77,-0.245,#giveaway #event,Holiday sale starts now — big discounts!
2024-08-18,2024-08,2024-08-12/2024-08-18,Facebook,ProductLaunch,3,29291,1635,135,112,0.164,#tips,Holiday sale starts now — big discounts!
2024-07-08,2024-07,2024-07-08/2024-07-14,Twitter,BrandAwareness,2,7242,455,9,28,-0.104,#giveaway #launch,Holiday sale starts now — big discounts!
2024-08-12,2024-08,2024-08-12/2024-08-18,Youtube,HolidayPush,1,19921,935,144,41,0.453,#giveaway,Behind the scenes from our team meeting.
2025-01-19,2025-01,2025-01-13/2025-01-19,Linkedin,,2,5081,189,15,23,0.279,#tips,New blog post: marketing strategies for 2025.
2025-01-11,2025-01,2025-01-06/2025-01-12,Instagram,,5,37797,3359,350,127,0.018,#viral,Join our giveaway — win prizes!
2024-10-09,2024-10,2024-10-07/2024-10-13,Instagram,,2,19948,1282,42,68,-0.463,#tips,Customer testimonial — we love feedback.
2025-09-24,2025-09,2025-09-22/2025-09-28,Twitter,,1,4870,318,9,16,0.212,#event #brand #howto,We hit a milestone — thank you!
2025-09-19,2025-09,2025-09-15/2025-09-21,Linkedin,BrandAwareness,2,5418,301,25,18,0.131,#news,Live Q&A tomorrow — set a reminder.
2024-09-15,2024-09,2024-09-09/2024-09-15,Instagram,,4,30088,2105,174,86,-0.46,#brand,We hit a milestone — thank you!
2024-12-24,2024-12,2024-12-23/2024-12-29,Facebook,,1,12299,693,80,44,0.152,#launch #sale,Top 5 tips to boost engagement.
2025-03-31,2025-03,2025-03-31/2025-04-06,Facebook,ProductLaunch,1,5609,166,11,14,0.311,#marketing,Launching our new product today! Check it out.
2025-02-14,2025-02,2025-02-10/2025-02-16,Instagram,,1,9663,476,32,44,0.103,#news,Collab announcement — exciting news.
2025-10-10,2025-10,2025-10-06/2025-10-12,Facebook,BrandAwareness,2,20750,1493,160,20,-0.094,#viral,Join our giveaway — win prizes!
2024-11-13,2024-11,2024-11-11/2024-11-17,Youtube,Community,1,17293,832,56,36,0.561,#event,Customer testimonial — we love feedback.
2025-11-07,2025-11,2025-11-03/2025-11-09,Instagram,HolidayPush,2,10334,241,59,34,0.719,,Collab announcement — exciting news.
2024-08-12,2024-08,2024-08-12/2024-08-18,Twitter,,1,2895,156,0,8,-0.31,#brand #marketing,Launching our new product today! Check it out.
2024-08-21,2024-08,2024-08-19/2024-08-25,Twitter,,1,2800,71,2,6,0.441,,Live Q&A tomorrow — set a reminder.
2025-11-14,2025-11,2025-11-10/2025-11-16,Youtube,Community,3,35528,1912,210,112,0.23,#news,Launching our new product today! Check it out.
2025-10-25,2025-10,2025-10-20/2025-10-26,Pinterest,,2,4255,356,15,7,-0.133,#howto #tips,New blog post: marketing strategies for 2025.
2025-01-08,2025-01,2025-01-06/2025-01-12,Twitter,BrandAwareness,1,3645,125,20,7,0.006,#howto,Live Q&A tomorrow — set a reminder.
2025-11-02,2025-11,2025-10-27/2025-11-02,Linkedin,HolidayPush,1,1969,143,5,5,0.022,#news,Behind the scenes from our team meeting.
2025-08-30,2025-08,2025-08-25/2025-08-31,Facebook,Community,1,6690,630,4,22,0.448,#marketing,Live Q&A tomorrow — set a reminder.
2025-04-16,2025-04,2025-04-14/2025-04-20,Facebook,BrandAwareness,1,7116,608,29,16,-0.075,#event,Holiday sale starts now — big discounts!
2024-08-20,2024-08,2024-08-19/2024-08-25,Instagram,,3,26077,1445,31,31,-0.561,,Live Q&A tomorrow — set a reminder.
2025-11-22,2025-11,2025-11-17/2025-11-23,Instagram,EngagementBoost,4,31839,1327,135,102,0.005,,Launching our new product today! Check it out.
2024-04-22,2024-04,2024-04-22/2024-04-28,Twitter,BrandAwareness,2,8997,571,18,31,0.408,#event,Live Q&A tomorrow — set a reminder.
2025-05-11,2025-05,2025-05-05/2025-05-11,Facebook,HolidayPush,2,27994,1785,148,53,0.495,,We hit a milestone — thank you!
2025-03-17,2025-03,2025-03-17/2025-03-23,Instagram,Community,3,23957,1879,82,62,-0.064,#tips,New blog post: marketing strategies for 2025.
2025-07-17,2025-07,2025-07-14/2025-07-20,Youtube,,2,20998,1281,71,82,0.247,#sale #launch,Live Q&A tomorrow — set a reminder.
2024-09-24,2024-09,2024-09-23/2024-09-29,Instagram,ProductLaunch,3,23671,1610,110,43,0.502,#marketing,Behind the scenes from our team meeting.
2025-05-24,2025-05,2025-05-19/2025-05-25,Instagram,HolidayPush,3,28509,1192,166,84,0.309,,Live Q&A tomorrow — set a reminder.
2025-01-20,2025-01,2025-01-20/2025-01-26,Twitter,,2,9304,695,40,21,0.803,#marketing,Behind the scenes from our team meeting.
